Accession	k-means-cluster_(k=5)
UNT_001_reseq	5
UNT_002_reseq	4
UNT_003_reseq	4
UNT_004_reseq	4
UNT_005_reseq	3
UNT_006_reseq	3
UNT_007_reseq	3
UNT_008_reseq	3
UNT_009_reseq	3
UNT_010_reseq	2
UNT_011_reseq	3
UNT_012_reseq	4
UNT_013_reseq	3
UNT_014_reseq	3
UNT_015_reseq	3
UNT_016_reseq	3
UNT_017_reseq	3
UNT_018_reseq	4
UNT_019_new	4
UNT_020_new	5
UNT_021_new	4
UNT_022_reseq	5
UNT_023_reseq	5
UNT_024_reseq	4
UNT_025_new	4
UNT_026_reseq	4
UNT_027_new	4
UNT_028_reseq	4
UNT_029_reseq	4
UNT_030_reseq	4
UNT_031_reseq	4
UNT_032_reseq	4
UNT_033_reseq	4
UNT_034_reseq	3
UNT_035_reseq	4
UNT_037_reseq	4
UNT_038_new	4
UNT_039_reseq	4
UNT_040_reseq	5
UNT_042_reseq	4
UNT_043_reseq	4
UNT_044_reseq	4
UNT_045_reseq	4
UNT_046_reseq	4
UNT_047_reseq	4
UNT_050_reseq	5
UNT_052_reseq	4
UNT_053_reseq	1
UNT_054_reseq	3
UNT_055_reseq	1
UNT_056_reseq	4
UNT_057	4
UNT_058_reseq	4
UNT_059_reseq	4
CAMPUB_007	4
CAMPUB_008	4
CAMPUB_025	4
CAMPUB_028	4
CAMPUB_029	4
CAMPUB_030	4
CAMPUB_031	2
CAMPUB_033	4
CAMPUB_035	4
CAMPUB_036	4
CAMPUB_038	4
CAMPUB_039	4
CAMPUB_040	4
CAMPUB_041	4
CAMPUB_045	4
CAMPUB_049	4
CAMPUB_052	4
CAMPUB_055	4
CAMPUB_056	4
CAMPUB_057	4
CAMPUB_058	1
CAMPUB_061	4
CAMPUB_063	4
CAMPUB_066	4
CAMPUB_067	4
CAMPUB_068	4
CAMPUB_070	4
CAMPUB_072	4
CAMPUB_073	4
CAMPUB_074	4
CAMPUB_077	2
CAMPUB_078	2
CAMPUB_079	4
CAMPUB_080	1
CAMPUB_081	4
CAMPUB_083	4
CAMPUB_084	4
CAMPUB_085	5
CAMPUB_086	4
CAMPUB_087	4
CAMPUB_088	4
CAMPUB_089	1
CAMPUB_090	4
CAMPUB_091	5
CAMPUB_092	4
CAMPUB_095	4
CAMPUB_096	4
CAMPUB_098	4
CAMPUB_099	4
CAMPUB_101	4
CAMPUB_104	4
CAMPUB_108	4
CAMPUB_110	4
CAMPUB_111	4
CAMPUB_112	1
CAMPUB_114	4
CAMPUB_116	5
CAMPUB_119	4
CAMPUB_120	4
CAMPUB_123	4
CAMPUB_124	4
CAMPUB_131	4
CAMPUB_134	3
CAMPUB_135	4
CAMPUB_136	4
CAMPUB_137	4
CAMPUB_138	5
CAMPUB_145	5
CAMPUB_146	1
CAMPUB_147	5
CAMPUB_148	4
CAMPUB_149	5
CAMPUB_150	4
CAMPUB_151	1
CAMPUB_152	4
CAMPUB_153	4
CAMPUB_154	4
CAMPUB_155	1
CAMPUB_156	4
CAMPUB_157	4
CAMPUB_158	4
CAMPUB_159	1
CAMPUB_160	4
CAMPUB_161	5
CAMPUB_162	1
CAMPUB_164	4
CAMPUB_165	3
CAMPUB_167	4
CAMPUB_168	4
CAMPUB_169	4
CAMPUB_170	4
CAMPUB_171	4
CAMPUB_172	2
CAMPUB_173	4
CAMPUB_174	5
CAMPUB_175	4
CAMPUB_180	5
CAMPUB_182	2
CAMPUB_187	4
CAMPUB_192	1
CAMPUB_193	5
CAMPUB_194	5
CAMPUB_195	1
CAMPUB_196	4
CAMPUB_197	4
CAMPUB_198	4
CAMPUB_199	4
CAMPUB_200	4
CAMPUB_201	1
CAMPUB_203	4
CAMPUB_204	4
CAMPUB_205	4
CAMPUB_206	1
CAMPUB_207	4
CAMPUB_209	4
CAMPUB_210	5
CAMPUB_211	4
CAMPUB_212	4
CAMPUB_214	1
CAMPUB_216	4
CAMPUB_218	4
CAMPUB_219	4
CAMPUB_220	4
CAMPUB_221	2
CAMPUB_223	4
CAMPUB_225	4
CAMPUB_226	4
CAMPUB_228	4
CAMPUB_229	4
CAMPUB_230	1
CAMPUB_231	4
CAMPUB_232	4
CAMPUB_233	4
CAMPUB_234	4
CAMPUB_235	4
CAMPUB_236	4
CAMPUB_237	4
CAMPUB_239	4
CAMPUB_240	4
CAMPUB_241	4
CAMPUB_242	4
CAMPUB_243	5
CAMPUB_244	4
CAMPUB_246	1
CAMPUB_247	1
CAMPUB_248	4
CAMPUB_250	4
CAMPUB_251	4
CAMPUB_252	4
CAMPUB_253	4
CAMPUB_255	4
CAMPUB_256	4
CAMPUB_257	4
CAMPUB_258	1
CAMPUB_259	4
CAMPUB_260	4
CAMPUB_261	4
CAMPUB_262	4
CAMPUB_264	4
CAMPUB_266	4
CAMPUB_268	4
CAMPUB_269	4
CAMPUB_270	4
CAMPUB_271	4
CAMPUB_272	4
CAMPUB_273	4
CAMPUB_276	2
CAMPUB_277	4
CAMPUB_278	4
