Accession	k-means-cluster_(k=6)
UNT_001_reseq	2
UNT_002_reseq	2
UNT_003_reseq	4
UNT_004_reseq	2
UNT_005_reseq	5
UNT_006_reseq	5
UNT_007_reseq	5
UNT_008_reseq	5
UNT_009_reseq	5
UNT_010_reseq	2
UNT_011_reseq	5
UNT_012_reseq	2
UNT_013_reseq	5
UNT_014_reseq	5
UNT_015_reseq	5
UNT_016_reseq	5
UNT_017_reseq	5
UNT_018_reseq	2
UNT_019_new	3
UNT_020_new	2
UNT_021_new	4
UNT_022_reseq	2
UNT_023_reseq	2
UNT_024_reseq	4
UNT_025_new	2
UNT_026_reseq	4
UNT_027_new	4
UNT_028_reseq	4
UNT_029_reseq	4
UNT_030_reseq	4
UNT_031_reseq	4
UNT_032_reseq	2
UNT_033_reseq	4
UNT_034_reseq	5
UNT_035_reseq	4
UNT_037_reseq	4
UNT_038_new	2
UNT_039_reseq	4
UNT_040_reseq	2
UNT_042_reseq	4
UNT_043_reseq	4
UNT_044_reseq	2
UNT_045_reseq	2
UNT_046_reseq	4
UNT_047_reseq	4
UNT_050_reseq	2
UNT_052_reseq	4
UNT_053_reseq	6
UNT_054_reseq	5
UNT_055_reseq	6
UNT_056_reseq	2
UNT_057	2
UNT_058_reseq	4
UNT_059_reseq	1
CAMPUB_007	2
CAMPUB_008	4
CAMPUB_025	4
CAMPUB_028	2
CAMPUB_029	4
CAMPUB_030	4
CAMPUB_031	2
CAMPUB_033	2
CAMPUB_035	4
CAMPUB_036	4
CAMPUB_038	1
CAMPUB_039	1
CAMPUB_040	4
CAMPUB_041	4
CAMPUB_045	3
CAMPUB_049	1
CAMPUB_052	1
CAMPUB_055	4
CAMPUB_056	2
CAMPUB_057	2
CAMPUB_058	6
CAMPUB_061	2
CAMPUB_063	2
CAMPUB_066	4
CAMPUB_067	2
CAMPUB_068	2
CAMPUB_070	2
CAMPUB_072	4
CAMPUB_073	2
CAMPUB_074	4
CAMPUB_077	2
CAMPUB_078	2
CAMPUB_079	2
CAMPUB_080	6
CAMPUB_081	2
CAMPUB_083	2
CAMPUB_084	2
CAMPUB_085	2
CAMPUB_086	2
CAMPUB_087	2
CAMPUB_088	2
CAMPUB_089	6
CAMPUB_090	2
CAMPUB_091	2
CAMPUB_092	2
CAMPUB_095	2
CAMPUB_096	2
CAMPUB_098	4
CAMPUB_099	2
CAMPUB_101	2
CAMPUB_104	2
CAMPUB_108	2
CAMPUB_110	4
CAMPUB_111	2
CAMPUB_112	6
CAMPUB_114	2
CAMPUB_116	2
CAMPUB_119	2
CAMPUB_120	4
CAMPUB_123	4
CAMPUB_124	4
CAMPUB_131	2
CAMPUB_134	5
CAMPUB_135	4
CAMPUB_136	4
CAMPUB_137	2
CAMPUB_138	2
CAMPUB_145	2
CAMPUB_146	6
CAMPUB_147	2
CAMPUB_148	4
CAMPUB_149	2
CAMPUB_150	2
CAMPUB_151	6
CAMPUB_152	4
CAMPUB_153	2
CAMPUB_154	4
CAMPUB_155	6
CAMPUB_156	2
CAMPUB_157	2
CAMPUB_158	6
CAMPUB_159	6
CAMPUB_160	4
CAMPUB_161	2
CAMPUB_162	6
CAMPUB_164	2
CAMPUB_165	5
CAMPUB_167	2
CAMPUB_168	4
CAMPUB_169	4
CAMPUB_170	2
CAMPUB_171	4
CAMPUB_172	2
CAMPUB_173	4
CAMPUB_174	2
CAMPUB_175	2
CAMPUB_180	2
CAMPUB_182	2
CAMPUB_187	4
CAMPUB_192	6
CAMPUB_193	2
CAMPUB_194	2
CAMPUB_195	6
CAMPUB_196	2
CAMPUB_197	2
CAMPUB_198	2
CAMPUB_199	4
CAMPUB_200	2
CAMPUB_201	6
CAMPUB_203	2
CAMPUB_204	2
CAMPUB_205	4
CAMPUB_206	6
CAMPUB_207	2
CAMPUB_209	2
CAMPUB_210	2
CAMPUB_211	4
CAMPUB_212	4
CAMPUB_214	6
CAMPUB_216	4
CAMPUB_218	2
CAMPUB_219	4
CAMPUB_220	4
CAMPUB_221	2
CAMPUB_223	4
CAMPUB_225	4
CAMPUB_226	4
CAMPUB_228	2
CAMPUB_229	2
CAMPUB_230	6
CAMPUB_231	2
CAMPUB_232	2
CAMPUB_233	2
CAMPUB_234	2
CAMPUB_235	2
CAMPUB_236	2
CAMPUB_237	4
CAMPUB_239	2
CAMPUB_240	2
CAMPUB_241	2
CAMPUB_242	2
CAMPUB_243	2
CAMPUB_244	2
CAMPUB_246	6
CAMPUB_247	6
CAMPUB_248	2
CAMPUB_250	2
CAMPUB_251	2
CAMPUB_252	2
CAMPUB_253	2
CAMPUB_255	2
CAMPUB_256	2
CAMPUB_257	2
CAMPUB_258	6
CAMPUB_259	4
CAMPUB_260	4
CAMPUB_261	4
CAMPUB_262	4
CAMPUB_264	2
CAMPUB_266	4
CAMPUB_268	4
CAMPUB_269	2
CAMPUB_270	4
CAMPUB_271	2
CAMPUB_272	2
CAMPUB_273	4
CAMPUB_276	2
CAMPUB_277	2
CAMPUB_278	2
