V1	V2	V3	accession
0.958649	0.041341	1e-05	CAMPUB_240
0.62981	0.314403	0.055787	CAMPUB_110
0.564759	0.368579	0.066662	CAMPUB_036
0.701466	0.294721	0.003814	CAMPUB_266
0.711384	0.280935	0.007681	CAMPUB_268
0.574887	0.350038	0.075075	CAMPUB_147
0.552342	0.374922	0.072736	UNT_050_reseq
0.532879	0.446816	0.020306	CAMPUB_149
0.824322	0.175668	1e-05	CAMPUB_194
0.770819	1e-05	0.229171	CAMPUB_154
0.650847	0.349143	1e-05	CAMPUB_078
0.846405	0.153585	1e-05	UNT_040_reseq
0.99998	1e-05	1e-05	CAMPUB_193
0.881511	0.118479	1e-05	CAMPUB_161
0.99998	1e-05	1e-05	CAMPUB_210
0.99998	1e-05	1e-05	CAMPUB_116
0.999979	1.1e-05	1e-05	CAMPUB_174
0.99998	1e-05	1e-05	UNT_020_new
0.999978	1.2e-05	1e-05	UNT_001_reseq
0.999978	1.2e-05	1e-05	UNT_022_reseq
0.999978	1.2e-05	1e-05	UNT_023_reseq
0.99998	1e-05	1e-05	CAMPUB_243
0.99998	1e-05	1e-05	CAMPUB_138
0.99998	1e-05	1e-05	CAMPUB_145
0.99998	1e-05	1e-05	CAMPUB_180
0.654052	0.177458	0.16849	CAMPUB_085
0.525383	1e-05	0.474607	CAMPUB_091
0.974894	0.025096	1e-05	CAMPUB_162
0.960417	0.039573	1e-05	CAMPUB_192
0.99998	1e-05	1e-05	CAMPUB_258
0.938511	0.061479	1e-05	CAMPUB_195
0.943367	0.056623	1e-05	CAMPUB_246
0.611785	1e-05	0.388205	CAMPUB_214
0.868019	0.098654	0.033327	CAMPUB_080
0.88609	0.1139	1e-05	CAMPUB_201
0.84955	0.15044	1e-05	CAMPUB_206
0.802007	0.160131	0.037862	CAMPUB_146
0.999979	1.1e-05	1e-05	CAMPUB_058
0.999976	1.4e-05	1e-05	CAMPUB_159
0.99998	1e-05	1e-05	UNT_053_reseq
0.832754	0.156181	0.011065	UNT_032_reseq
0.999975	1.5e-05	1e-05	UNT_033_reseq
0.824921	0.138842	0.036237	CAMPUB_072
0.697107	0.277951	0.024942	CAMPUB_150
0.999979	1.1e-05	1e-05	CAMPUB_153
0.99998	1e-05	1e-05	CAMPUB_155
0.999978	1.2e-05	1e-05	CAMPUB_167
0.996918	0.003072	1e-05	UNT_055_reseq
0.981814	0.018176	1e-05	CAMPUB_248
0.929511	0.060929	0.00956	CAMPUB_272
0.999979	1.1e-05	1e-05	CAMPUB_264
0.999979	1.1e-05	1e-05	CAMPUB_070
0.99998	1e-05	1e-05	CAMPUB_081
0.99998	1e-05	1e-05	CAMPUB_269
0.99998	1e-05	1e-05	CAMPUB_061
0.99998	1e-05	1e-05	CAMPUB_137
0.980085	0.019905	1e-05	UNT_021_new
0.999972	1.8e-05	1e-05	CAMPUB_066
0.979787	0.020203	1e-05	UNT_031_reseq
0.99998	1e-05	1e-05	CAMPUB_148
0.99036	0.00963	1e-05	CAMPUB_270
0.99998	1e-05	1e-05	CAMPUB_187
0.999976	1.4e-05	1e-05	UNT_058_reseq
0.99998	1e-05	1e-05	CAMPUB_135
0.99998	1e-05	1e-05	CAMPUB_168
0.99998	1e-05	1e-05	CAMPUB_260
0.99998	1e-05	1e-05	CAMPUB_273
0.743317	0.256673	1e-05	CAMPUB_136
0.830126	0.169864	1e-05	CAMPUB_211
