Accession	k-means-cluster_(k=7)
CAMPUB_007	6
CAMPUB_008	6
CAMPUB_025	6
CAMPUB_028	6
CAMPUB_029	6
CAMPUB_030	6
CAMPUB_031	6
CAMPUB_033	6
CAMPUB_035	1
CAMPUB_036	6
CAMPUB_038	4
CAMPUB_039	4
CAMPUB_040	6
CAMPUB_041	6
CAMPUB_045	6
CAMPUB_049	4
CAMPUB_052	4
CAMPUB_055	6
CAMPUB_056	6
CAMPUB_057	1
CAMPUB_058	2
CAMPUB_061	5
CAMPUB_063	6
CAMPUB_066	7
CAMPUB_067	6
CAMPUB_068	6
CAMPUB_070	5
CAMPUB_072	7
CAMPUB_073	6
CAMPUB_074	6
CAMPUB_077	6
CAMPUB_078	3
CAMPUB_079	7
CAMPUB_080	5
CAMPUB_081	5
CAMPUB_083	6
CAMPUB_084	5
CAMPUB_085	3
CAMPUB_086	6
CAMPUB_087	6
CAMPUB_088	6
CAMPUB_089	2
CAMPUB_090	6
CAMPUB_091	3
CAMPUB_092	7
CAMPUB_095	6
CAMPUB_096	6
CAMPUB_098	7
CAMPUB_099	7
CAMPUB_101	6
CAMPUB_104	6
CAMPUB_108	6
CAMPUB_110	6
CAMPUB_111	6
CAMPUB_112	2
CAMPUB_114	7
CAMPUB_116	3
CAMPUB_119	6
CAMPUB_120	6
CAMPUB_123	6
CAMPUB_124	6
CAMPUB_131	6
CAMPUB_134	7
CAMPUB_135	6
CAMPUB_136	6
CAMPUB_137	5
CAMPUB_138	3
CAMPUB_145	3
CAMPUB_146	2
CAMPUB_147	3
CAMPUB_148	6
CAMPUB_149	3
CAMPUB_150	5
CAMPUB_151	2
CAMPUB_152	6
CAMPUB_153	7
CAMPUB_154	6
CAMPUB_155	7
CAMPUB_156	6
CAMPUB_157	6
CAMPUB_158	6
CAMPUB_159	2
CAMPUB_160	6
CAMPUB_161	3
CAMPUB_162	2
CAMPUB_164	6
CAMPUB_165	7
CAMPUB_167	5
CAMPUB_168	6
CAMPUB_169	1
CAMPUB_170	6
CAMPUB_171	6
CAMPUB_172	6
CAMPUB_173	6
CAMPUB_174	3
CAMPUB_175	5
CAMPUB_180	3
CAMPUB_182	6
CAMPUB_187	6
CAMPUB_192	2
CAMPUB_193	3
CAMPUB_194	3
CAMPUB_195	2
CAMPUB_196	6
CAMPUB_197	6
CAMPUB_198	6
CAMPUB_199	6
CAMPUB_200	6
CAMPUB_201	2
CAMPUB_203	7
CAMPUB_204	6
CAMPUB_205	6
CAMPUB_206	2
CAMPUB_207	6
CAMPUB_209	7
CAMPUB_210	5
CAMPUB_211	6
CAMPUB_212	6
CAMPUB_214	2
CAMPUB_216	6
CAMPUB_218	6
CAMPUB_219	6
CAMPUB_220	6
CAMPUB_221	6
CAMPUB_223	6
CAMPUB_225	6
CAMPUB_226	1
CAMPUB_228	6
CAMPUB_229	6
CAMPUB_230	2
CAMPUB_231	6
CAMPUB_232	6
CAMPUB_233	6
CAMPUB_234	6
CAMPUB_235	6
CAMPUB_236	6
CAMPUB_237	7
CAMPUB_239	6
CAMPUB_240	6
CAMPUB_241	6
CAMPUB_242	6
CAMPUB_243	3
CAMPUB_244	6
CAMPUB_246	2
CAMPUB_247	2
CAMPUB_248	5
CAMPUB_250	6
CAMPUB_251	5
CAMPUB_252	6
CAMPUB_253	6
CAMPUB_255	7
CAMPUB_256	6
CAMPUB_257	6
CAMPUB_258	2
CAMPUB_259	6
CAMPUB_260	6
CAMPUB_261	6
CAMPUB_262	6
CAMPUB_264	5
CAMPUB_266	6
CAMPUB_268	6
CAMPUB_269	5
CAMPUB_270	6
CAMPUB_271	5
CAMPUB_272	5
CAMPUB_273	6
CAMPUB_276	6
CAMPUB_277	6
CAMPUB_278	6
UNT_001_reseq	3
UNT_002_reseq	6
UNT_003_reseq	6
UNT_004_reseq	6
UNT_005_reseq	7
UNT_006_reseq	7
UNT_007_reseq	7
UNT_008_reseq	7
UNT_009_reseq	7
UNT_010_reseq	6
UNT_011_reseq	7
UNT_012_reseq	6
UNT_013_reseq	7
UNT_014_reseq	7
UNT_015_reseq	7
UNT_016_reseq	7
UNT_017_reseq	7
UNT_018_reseq	6
UNT_019_new	6
UNT_020_new	3
UNT_021_new	7
UNT_022_reseq	3
UNT_023_reseq	3
UNT_024_reseq	6
UNT_025_new	1
UNT_026_reseq	6
UNT_027_new	6
UNT_028_reseq	6
UNT_029_reseq	6
UNT_030_reseq	1
UNT_031_reseq	7
UNT_032_reseq	6
UNT_033_reseq	7
UNT_034_reseq	7
UNT_035_reseq	6
UNT_037_reseq	1
UNT_038_new	6
UNT_039_reseq	6
UNT_040_reseq	3
UNT_042_reseq	6
UNT_043_reseq	6
UNT_044_reseq	6
UNT_045_reseq	6
UNT_046_reseq	6
UNT_047_reseq	6
UNT_050_reseq	3
UNT_052_reseq	6
UNT_053_reseq	2
UNT_054_reseq	7
UNT_055_reseq	2
UNT_056_reseq	6
UNT_057	6
UNT_058_reseq	6
UNT_059_reseq	4
