Accession	k-means-cluster_(k=10)
CAMPUB_007	10
CAMPUB_008	10
CAMPUB_025	6
CAMPUB_028	9
CAMPUB_029	7
CAMPUB_030	7
CAMPUB_031	8
CAMPUB_033	9
CAMPUB_035	6
CAMPUB_036	10
CAMPUB_038	2
CAMPUB_039	2
CAMPUB_040	10
CAMPUB_041	7
CAMPUB_045	6
CAMPUB_049	2
CAMPUB_052	2
CAMPUB_055	6
CAMPUB_056	7
CAMPUB_057	10
CAMPUB_058	10
CAMPUB_061	4
CAMPUB_063	1
CAMPUB_066	10
CAMPUB_067	1
CAMPUB_068	1
CAMPUB_070	4
CAMPUB_072	10
CAMPUB_073	9
CAMPUB_074	10
CAMPUB_077	8
CAMPUB_078	8
CAMPUB_079	10
CAMPUB_080	4
CAMPUB_081	4
CAMPUB_083	9
CAMPUB_084	4
CAMPUB_085	5
CAMPUB_086	9
CAMPUB_087	9
CAMPUB_088	9
CAMPUB_089	9
CAMPUB_090	9
CAMPUB_091	5
CAMPUB_092	9
CAMPUB_095	9
CAMPUB_096	10
CAMPUB_098	10
CAMPUB_099	1
CAMPUB_101	10
CAMPUB_104	9
CAMPUB_108	9
CAMPUB_110	10
CAMPUB_111	6
CAMPUB_112	9
CAMPUB_114	9
CAMPUB_116	5
CAMPUB_119	9
CAMPUB_120	7
CAMPUB_123	10
CAMPUB_124	7
CAMPUB_131	1
CAMPUB_134	3
CAMPUB_135	10
CAMPUB_136	10
CAMPUB_137	4
CAMPUB_138	5
CAMPUB_145	5
CAMPUB_146	10
CAMPUB_147	7
CAMPUB_148	10
CAMPUB_149	5
CAMPUB_150	4
CAMPUB_151	9
CAMPUB_152	6
CAMPUB_153	10
CAMPUB_154	10
CAMPUB_155	10
CAMPUB_156	10
CAMPUB_157	10
CAMPUB_158	10
CAMPUB_159	10
CAMPUB_160	7
CAMPUB_161	5
CAMPUB_162	1
CAMPUB_164	1
CAMPUB_165	3
CAMPUB_167	4
CAMPUB_168	10
CAMPUB_169	10
CAMPUB_170	9
CAMPUB_171	7
CAMPUB_172	8
CAMPUB_173	6
CAMPUB_174	5
CAMPUB_175	4
CAMPUB_180	5
CAMPUB_182	8
CAMPUB_187	10
CAMPUB_192	1
CAMPUB_193	5
CAMPUB_194	5
CAMPUB_195	1
CAMPUB_196	1
CAMPUB_197	10
CAMPUB_198	1
CAMPUB_199	9
CAMPUB_200	9
CAMPUB_201	10
CAMPUB_203	10
CAMPUB_204	6
CAMPUB_205	7
CAMPUB_206	10
CAMPUB_207	7
CAMPUB_209	10
CAMPUB_210	4
CAMPUB_211	10
CAMPUB_212	10
CAMPUB_214	9
CAMPUB_216	6
CAMPUB_218	7
CAMPUB_219	10
CAMPUB_220	10
CAMPUB_221	8
CAMPUB_223	10
CAMPUB_225	10
CAMPUB_226	10
CAMPUB_228	9
CAMPUB_229	1
CAMPUB_230	9
CAMPUB_231	9
CAMPUB_232	1
CAMPUB_233	1
CAMPUB_234	9
CAMPUB_235	9
CAMPUB_236	1
CAMPUB_237	10
CAMPUB_239	9
CAMPUB_240	1
CAMPUB_241	9
CAMPUB_242	1
CAMPUB_243	5
CAMPUB_244	10
CAMPUB_246	1
CAMPUB_247	9
CAMPUB_248	4
CAMPUB_250	9
CAMPUB_251	4
CAMPUB_252	10
CAMPUB_253	1
CAMPUB_255	10
CAMPUB_256	1
CAMPUB_257	6
CAMPUB_258	1
CAMPUB_259	7
CAMPUB_260	10
CAMPUB_261	7
CAMPUB_262	7
CAMPUB_264	4
CAMPUB_266	10
CAMPUB_268	10
CAMPUB_269	4
CAMPUB_270	10
CAMPUB_271	4
CAMPUB_272	4
CAMPUB_273	10
CAMPUB_276	8
CAMPUB_277	10
CAMPUB_278	6
UNT_001_reseq	5
UNT_002_reseq	9
UNT_003_reseq	10
UNT_004_reseq	9
UNT_005_reseq	3
UNT_006_reseq	3
UNT_007_reseq	3
UNT_008_reseq	3
UNT_009_reseq	3
UNT_010_reseq	8
UNT_011_reseq	3
UNT_012_reseq	1
UNT_013_reseq	3
UNT_014_reseq	3
UNT_015_reseq	3
UNT_016_reseq	3
UNT_017_reseq	3
UNT_018_reseq	9
UNT_019_new	6
UNT_020_new	5
UNT_021_new	10
UNT_022_reseq	5
UNT_023_reseq	5
UNT_024_reseq	7
UNT_025_new	10
UNT_026_reseq	7
UNT_027_new	7
UNT_028_reseq	7
UNT_029_reseq	6
UNT_030_reseq	6
UNT_031_reseq	10
UNT_032_reseq	1
UNT_033_reseq	10
UNT_034_reseq	3
UNT_035_reseq	10
UNT_037_reseq	10
UNT_038_new	10
UNT_039_reseq	6
UNT_040_reseq	5
UNT_042_reseq	10
UNT_043_reseq	7
UNT_044_reseq	1
UNT_045_reseq	1
UNT_046_reseq	10
UNT_047_reseq	10
UNT_050_reseq	7
UNT_052_reseq	10
UNT_053_reseq	10
UNT_054_reseq	3
UNT_055_reseq	1
UNT_056_reseq	1
UNT_057	6
UNT_058_reseq	10
UNT_059_reseq	2
