V1	V2	V3	V4	V5	V6	V7	accession
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CAMPUB_033
0.62775	1e-05	1e-05	0.0365	0.218505	0.083595	0.033629	CAMPUB_124
0.687049	0.01195	1e-05	1e-05	0.114157	0.154732	0.032092	CAMPUB_218
0.364191	0.151459	1e-05	1e-05	0.31054	0.078047	0.095743	UNT_046
0.554399	1e-05	1e-05	0.053454	0.159341	0.210726	0.022059	CAMPUB_169
0.521285	1e-05	1e-05	0.03884	0.193204	0.226066	0.020585	CAMPUB_226
0.913947	1e-05	1e-05	0.012166	0.073847	1e-05	1e-05	CAMPUB_035
0.822436	0.066786	1e-05	1e-05	0.078043	0.026563	0.006153	UNT_030
0.516203	0.168592	0.01885	0.1781	0.10371	1e-05	0.014535	UNT_039
0.683781	1e-05	1e-05	1e-05	0.316169	1e-05	1e-05	CAMPUB_216
0.658012	1e-05	0.341938	1e-05	1e-05	1e-05	1e-05	CAMPUB_257
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_278
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_057
0.999932	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_204
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_055
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_173
0.653013	0.042855	0.097339	0.094334	0.001465	0.110984	1e-05	CAMPUB_041
0.469667	0.16993	0.052738	0.080681	0.084578	0.142396	1e-05	UNT_024
0.625757	0.024594	1.1e-05	0.155878	0.016727	0.177022	1e-05	CAMPUB_160
0.632603	0.079711	1e-05	0.095492	1e-05	0.192164	1e-05	CAMPUB_171
0.647652	0.07602	1e-05	0.124139	1e-05	0.152159	1e-05	CAMPUB_262
0.636016	0.049688	1e-05	0.11221	1.2e-05	0.202054	1e-05	CAMPUB_120
0.634816	0.20506	1e-05	0.07347	1e-05	0.086625	1e-05	UNT_026
0.653855	0.178885	1e-05	0.031724	1e-05	0.135506	1e-05	UNT_027
0.65566	0.142296	1e-05	0.067732	1e-05	0.134282	1e-05	UNT_028
0.576788	1e-05	1e-05	1.9e-05	1e-05	0.423153	1e-05	CAMPUB_057
0.535785	0.058143	1.5e-05	1e-05	1.3e-05	0.406024	1e-05	UNT_025
0.470319	1e-05	1e-05	0.033059	1e-05	0.496582	1e-05	CAMPUB_045
0.440358	0.114149	1e-05	0.001128	1e-05	0.444334	1e-05	UNT_019
0.538158	0.009688	1e-05	1e-05	0.160109	0.255626	0.036399	CAMPUB_056
0.275018	1e-05	1e-05	1e-05	0.358932	0.313032	0.052988	CAMPUB_223
0.447012	0.009255	0.038552	1e-05	0.24727	0.202092	0.055809	CAMPUB_225
0.514395	0.014145	1e-05	0.036032	0.271376	0.119696	0.044347	CAMPUB_025
0.706709	1e-05	1e-05	1e-05	0.195836	0.072866	0.024559	CAMPUB_111
0.431023	0.072739	1e-05	1e-05	0.373048	0.050442	0.072728	UNT_029
0.433916	1e-05	1e-05	1e-05	0.424305	0.141739	1e-05	CAMPUB_255
0.641907	0.008971	0.00992	1e-05	0.084386	0.239612	0.015194	CAMPUB_007
0.575729	1e-05	1e-05	1e-05	0.204409	0.219822	1e-05	CAMPUB_252
0.660995	0.021065	1e-05	1e-05	0.16037	0.094495	0.063056	CAMPUB_197
0.70511	1e-05	1e-05	1e-05	0.155035	0.118126	0.021698	CAMPUB_244
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	UNT_059
1e-05	1e-05	1e-05	1e-05	1.6e-05	0.999934	1e-05	CAMPUB_038
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	CAMPUB_039
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	CAMPUB_049
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	CAMPUB_052
0.273633	0.113018	0.005865	0.017099	0.39529	0.163534	0.031559	UNT_037
0.735127	1e-05	1e-05	1e-05	0.197841	0.066992	1e-05	CAMPUB_203
0.177764	1e-05	1e-05	0.002793	0.573284	0.24613	1e-05	CAMPUB_209
0.253988	0.029116	0.019907	0.039165	0.518726	0.054959	0.084138	CAMPUB_074
0.609988	1.4e-05	0.00679	0.007342	0.354804	1e-05	0.021052	CAMPUB_152
0.367649	0.117953	0.002323	0.029207	0.295493	0.146873	0.040502	CAMPUB_259
0.354449	0.069293	0.016676	0.055546	0.303184	0.122562	0.07829	CAMPUB_261
0.258612	0.018479	1e-05	0.032741	0.522852	0.110377	0.05693	CAMPUB_123
0.368749	0.087724	1e-05	0.077843	0.342639	0.074417	0.048618	CAMPUB_029
0.372561	0.088213	1e-05	0.076573	0.33693	0.076769	0.048945	CAMPUB_030
0.073456	0.115575	1e-05	0.271533	0.539406	1e-05	1e-05	CAMPUB_084
0.300126	0.03992	1e-05	0.053061	0.531377	0.075496	1e-05	CAMPUB_271
0.72198	1e-05	1e-05	1e-05	0.203235	0.024981	0.049774	CAMPUB_212
0.218065	1e-05	0.015778	1e-05	0.564219	0.056992	0.144925	CAMPUB_136
0.105343	1e-05	0.447804	1e-05	0.341998	1e-05	0.104825	CAMPUB_211
0.363657	1e-05	1e-05	1e-05	0.457774	0.052904	0.125635	CAMPUB_008
0.451748	1e-05	1e-05	1e-05	0.331979	0.128009	0.088234	CAMPUB_040
0.052784	0.035417	0.377589	0.246908	0.249419	1e-05	0.037873	CAMPUB_096
0.216951	1e-05	0.46731	0.05066	0.229528	0.002875	0.032667	CAMPUB_205
0.131552	1.3e-05	0.603697	1e-05	0.142907	0.121811	1e-05	CAMPUB_164
0.174286	0.03118	0.560184	1e-05	0.115341	0.11899	1e-05	CAMPUB_196
0.233916	1e-05	0.599519	0.031925	1e-05	0.134611	1e-05	CAMPUB_219
0.239605	1e-05	0.597659	0.029775	1e-05	0.132931	1e-05	CAMPUB_220
1e-05	1e-05	0.586778	1e-05	0.413172	1e-05	1e-05	CAMPUB_233
1e-05	1e-05	0.475899	1e-05	0.524051	1e-05	1e-05	CAMPUB_242
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	CAMPUB_068
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	CAMPUB_067
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	CAMPUB_236
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	CAMPUB_229
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	CAMPUB_256
0.109519	1e-05	0.705868	1e-05	0.184573	1e-05	1e-05	CAMPUB_131
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	CAMPUB_253
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	CAMPUB_063
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	CAMPUB_240
0.233301	0.011506	1e-05	0.057869	0.415975	0.160371	0.120967	CAMPUB_036
0.207518	1e-05	0.014275	0.055471	0.494372	0.149924	0.078431	CAMPUB_110
0.167068	0.039805	0.025724	1e-05	0.524549	0.129037	0.113806	CAMPUB_266
0.149433	0.036646	0.027495	0.002855	0.515942	0.152835	0.114794	CAMPUB_268
0.316584	0.072566	0.02409	0.034494	1e-05	1e-05	0.552245	CAMPUB_147
0.265478	0.196641	1e-05	0.020543	1e-05	1e-05	0.517308	UNT_050
0.452974	1e-05	1e-05	1e-05	1e-05	1e-05	0.546976	CAMPUB_149
0.11325	1e-05	0.420808	1e-05	0.021796	0.012176	0.431951	CAMPUB_194
0.074457	1e-05	1e-05	1e-05	1e-05	0.412953	0.51255	CAMPUB_078
1e-05	1e-05	1e-05	0.237474	0.327398	1e-05	0.435088	CAMPUB_154
1.4e-05	0.049514	1e-05	1e-05	0.110362	0.2493	0.590791	UNT_040
1e-05	1e-05	0.440852	1e-05	1e-05	1e-05	0.559098	CAMPUB_193
0.072672	1e-05	0.012146	1e-05	0.193903	0.087361	0.633898	CAMPUB_161
1e-05	1e-05	1e-05	1e-05	0.512908	1e-05	0.487042	CAMPUB_210
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	CAMPUB_116
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	CAMPUB_174
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	CAMPUB_243
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	CAMPUB_138
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	CAMPUB_145
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	CAMPUB_180
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	UNT_020
1e-05	1.4e-05	1e-05	1e-05	1e-05	1e-05	0.999936	UNT_023
1e-05	1.6e-05	1e-05	1.6e-05	1e-05	1e-05	0.999929	UNT_001
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	UNT_022
0.136384	1e-05	0.198122	0.155888	1e-05	1e-05	0.509575	CAMPUB_085
1e-05	1e-05	1e-05	0.480876	1e-05	1e-05	0.519074	CAMPUB_091
0.322533	1e-05	1e-05	0.028857	0.568231	0.08035	1e-05	CAMPUB_098
1e-05	1e-05	0.447011	1e-05	0.534639	0.009105	0.009214	CAMPUB_099
0.151994	1e-05	0.23613	0.031527	0.518824	0.033602	0.027913	CAMPUB_237
1e-05	1e-05	0.459982	1e-05	0.539968	1e-05	1e-05	CAMPUB_192
1e-05	1e-05	0.447868	1e-05	0.552082	1e-05	1e-05	CAMPUB_162
1e-05	1e-05	0.491063	1e-05	0.508887	1e-05	1e-05	CAMPUB_195
1e-05	1e-05	0.482472	1e-05	0.517478	1e-05	1e-05	CAMPUB_258
1e-05	1e-05	0.409162	1e-05	0.590788	1e-05	1e-05	CAMPUB_246
0.141775	1e-05	1e-05	0.038019	0.802322	0.017854	1e-05	CAMPUB_146
0.08245	0.035754	1.2e-05	1e-05	0.859466	1e-05	0.022299	CAMPUB_201
0.102679	0.038737	1e-05	1e-05	0.848897	0.009658	1e-05	CAMPUB_206
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	CAMPUB_058
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	CAMPUB_159
1e-05	0.045036	1e-05	1e-05	0.954914	1e-05	1e-05	UNT_053
1e-05	1e-05	1e-05	1e-05	0.889186	0.028739	0.082035	CAMPUB_066
1.2e-05	0.084165	1e-05	1e-05	0.84584	0.006177	0.063786	UNT_021
1e-05	0.096939	1e-05	1e-05	0.764887	0.01194	0.126204	UNT_031
1e-05	1e-05	1e-05	1e-05	0.823012	1e-05	0.176938	CAMPUB_187
1e-05	0.027456	1e-05	1e-05	0.522398	1e-05	0.450105	UNT_058
1e-05	1.2e-05	1e-05	1e-05	0.961244	1e-05	0.038705	CAMPUB_260
1e-05	1e-05	1e-05	1e-05	0.996611	1e-05	0.003339	CAMPUB_273
1e-05	1e-05	1e-05	1e-05	0.8442	0.043291	0.112469	CAMPUB_270
1e-05	1e-05	1e-05	1e-05	0.92683	1e-05	0.07312	CAMPUB_135
0.008759	1e-05	1.5e-05	1e-05	0.901649	0.01194	0.077617	CAMPUB_168
0.116739	1e-05	0.026015	0.036572	0.700916	0.049238	0.07051	CAMPUB_072
0.235876	0.001767	1e-05	0.016713	0.680581	0.065044	1e-05	CAMPUB_150
1e-05	1e-05	0.497156	1e-05	0.502794	1e-05	1e-05	CAMPUB_167
1e-05	0.051312	0.202948	1e-05	0.745701	1e-05	1e-05	UNT_055
1e-05	1e-05	0.540165	1e-05	0.459785	1e-05	1e-05	CAMPUB_248
1e-05	0.036847	0.072631	1e-05	0.846734	0.043758	1e-05	CAMPUB_272
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	CAMPUB_264
1e-05	1e-05	0.322	1e-05	0.67795	1e-05	1e-05	CAMPUB_070
1e-05	1e-05	0.32842	1e-05	0.67153	1e-05	1e-05	CAMPUB_081
1e-05	1e-05	0.108406	1e-05	0.891544	1e-05	1e-05	CAMPUB_269
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	CAMPUB_061
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	CAMPUB_137
1e-05	1e-05	1e-05	1e-05	0.985368	1e-05	0.014582	CAMPUB_148
1e-05	1e-05	1.2e-05	1e-05	0.999938	1e-05	1e-05	CAMPUB_153
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	CAMPUB_155
0.100534	1e-05	1e-05	0.030352	0.869073	1e-05	1e-05	CAMPUB_080
0.275197	1e-05	0.044153	0.025492	0.642076	0.013062	1e-05	CAMPUB_251
0.122375	1e-05	0.261703	1e-05	0.391732	0.213656	0.010514	CAMPUB_175
0.251579	0.076958	0.101129	1e-05	0.333421	0.184943	0.051961	UNT_038
1e-05	0.106389	0.484149	1e-05	0.309828	0.035454	0.06416	UNT_032
1e-05	0.063133	0.02099	1e-05	0.773757	0.017462	0.124638	UNT_033
