V1	V2	V3	V4	accession
0.140716	0.011635	1e-05	0.84764	CAMPUB_161
1e-05	1e-05	1e-05	0.99997	CAMPUB_138
1e-05	0.008243	1e-05	0.991737	CAMPUB_243
1e-05	1.1e-05	1e-05	0.999969	CAMPUB_145
1e-05	1e-05	1e-05	0.99997	CAMPUB_180
1e-05	0.020213	1e-05	0.979767	CAMPUB_116
1e-05	1e-05	1e-05	0.99997	CAMPUB_174
1e-05	0.050456	1e-05	0.949524	CAMPUB_193
0.110688	1e-05	1e-05	0.889292	CAMPUB_194
0.178647	1e-05	0.161073	0.66027	CAMPUB_085
1e-05	1e-05	0.446641	0.553339	CAMPUB_091
0.317969	1e-05	0.041566	0.640456	CAMPUB_074
0.586048	1e-05	0.027459	0.386484	CAMPUB_152
0.353394	1e-05	0.039556	0.60704	CAMPUB_110
0.327924	0.021299	0.040962	0.609815	CAMPUB_123
0.447166	0.012285	0.10265	0.4379	CAMPUB_029
0.462099	0.041568	0.093325	0.403008	CAMPUB_030
0.240959	0.074423	1e-05	0.684609	CAMPUB_175
0.280224	0.087205	0.001997	0.630574	CAMPUB_266
0.279656	0.050566	0.0126	0.657178	CAMPUB_268
1e-05	0.288377	1e-05	0.711603	CAMPUB_260
1e-05	0.162149	1e-05	0.837831	CAMPUB_273
1e-05	1e-05	1e-05	0.99997	CAMPUB_135
1e-05	0.14905	1e-05	0.85093	CAMPUB_168
0.013659	0.045765	1e-05	0.940566	CAMPUB_187
0.069528	0.008651	1e-05	0.921811	CAMPUB_270
0.117764	0.100418	1e-05	0.781808	CAMPUB_206
0.101982	0.031282	1e-05	0.866726	CAMPUB_201
1e-05	0.044105	1e-05	0.955875	CAMPUB_159
1e-05	1e-05	1e-05	0.99997	CAMPUB_058
0.149759	1e-05	0.020458	0.829773	CAMPUB_146
1e-05	0.010949	1e-05	0.989031	CAMPUB_148
1e-05	1e-05	1e-05	0.99997	CAMPUB_155
0.143194	1e-05	0.292154	0.564642	CAMPUB_084
0.374656	1e-05	0.052531	0.572803	CAMPUB_271
0.300638	1e-05	0.032238	0.667115	CAMPUB_150
0.068945	1e-05	1e-05	0.931035	CAMPUB_066
0.137231	1e-05	0.025428	0.837332	CAMPUB_072
1e-05	0.079826	1e-05	0.920154	CAMPUB_167
0.10175	1e-05	0.021592	0.876648	CAMPUB_080
0.250017	1e-05	0.036921	0.713052	CAMPUB_251
1e-05	0.002676	1e-05	0.997304	CAMPUB_248
1e-05	0.015204	1e-05	0.984776	CAMPUB_264
