V1	V2	V3	V4	V5	V6	accession
1e-05	1e-05	0.600251	1e-05	1e-05	0.399709	CAMPUB_040
1e-05	0.369622	0.085686	1e-05	0.239146	0.305526	CAMPUB_096
1e-05	0.319826	0.199013	1e-05	0.255234	0.225907	CAMPUB_101
0.015982	0.432941	0.1903	0.079989	0.049542	0.231246	CAMPUB_205
1.1e-05	0.567666	0.36666	1e-05	0.037439	0.028213	CAMPUB_219
0.019196	0.566489	0.376546	1e-05	0.037749	1e-05	CAMPUB_220
0.003759	0.534838	0.206319	0.122801	1e-05	0.132273	CAMPUB_164
1e-05	0.495557	0.364584	1e-05	1e-05	0.139829	CAMPUB_196
1e-05	0.423868	1e-05	0.075592	1e-05	0.50051	CAMPUB_192
1e-05	0.496205	1e-05	0.007876	1e-05	0.495889	CAMPUB_258
1e-05	0.467488	1e-05	0.08195	1e-05	0.450532	CAMPUB_195
1e-05	0.384352	1e-05	0.086426	1e-05	0.529192	CAMPUB_246
1e-05	0.459839	1e-05	0.048341	1e-05	0.49179	CAMPUB_162
0.016203	0.623377	1e-05	7.1e-05	1e-05	0.360329	CAMPUB_233
1e-05	0.529826	1e-05	1e-05	1e-05	0.470134	CAMPUB_242
0.008481	0.698118	0.13121	1e-05	1e-05	0.16217	CAMPUB_131
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_067
1e-05	0.99994	1.9e-05	1e-05	1.2e-05	1e-05	CAMPUB_068
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_236
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_229
1e-05	0.999949	1e-05	1e-05	1.1e-05	1e-05	CAMPUB_256
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_253
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_063
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_240
0.305696	1e-05	1e-05	1e-05	0.242063	0.452211	CAMPUB_154
0.256108	6.3e-05	0.397516	1e-05	0.084861	0.261443	CAMPUB_147
0.329506	1e-05	0.390685	1e-05	1e-05	0.279779	CAMPUB_078
0.260749	1e-05	0.489715	1e-05	1e-05	0.249506	CAMPUB_149
0.250607	1e-05	1e-05	1e-05	1e-05	0.749353	CAMPUB_210
0.239808	1e-05	0.174565	1e-05	1e-05	0.585597	CAMPUB_161
0.384782	1.2e-05	1e-05	1e-05	1e-05	0.615176	CAMPUB_138
0.410119	1.2e-05	1e-05	1e-05	1e-05	0.58984	CAMPUB_243
0.399932	1.3e-05	1e-05	1e-05	1e-05	0.600025	CAMPUB_145
0.384092	1e-05	1.4e-05	1e-05	1e-05	0.615864	CAMPUB_180
0.373749	1e-05	1e-05	1e-05	1e-05	0.626211	CAMPUB_116
0.281906	1.2e-05	1.7e-05	1e-05	1e-05	0.718045	CAMPUB_174
0.286335	0.428602	1e-05	1e-05	1e-05	0.285032	CAMPUB_193
0.149513	0.401747	0.108	1e-05	1e-05	0.34072	CAMPUB_194
0.190336	0.195356	0.19084	1e-05	0.167534	0.255924	CAMPUB_085
0.207177	1e-05	1e-05	1e-05	0.484411	0.308382	CAMPUB_091
0.009685	0.012778	0.335913	1e-05	0.049333	0.592281	CAMPUB_074
1e-05	0.020618	0.584934	0.004305	0.033333	0.3568	CAMPUB_152
1e-05	1e-05	0.364032	1e-05	0.047637	0.5883	CAMPUB_110
0.02149	1e-05	0.328031	0.02651	0.045844	0.578116	CAMPUB_123
1e-05	1e-05	0.432951	0.031935	0.10426	0.430834	CAMPUB_029
1e-05	1e-05	0.443468	0.06047	0.092973	0.403069	CAMPUB_030
0.027366	0.243788	0.231139	0.065304	1e-05	0.432394	CAMPUB_175
0.071684	0.014968	0.293721	0.056277	0.005769	0.557581	CAMPUB_266
0.049465	0.007795	0.295795	0.038788	0.016685	0.591473	CAMPUB_268
0.147361	1.3e-05	1e-05	0.181496	1e-05	0.67111	CAMPUB_260
0.065718	1e-05	1e-05	0.127149	1e-05	0.807102	CAMPUB_273
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	CAMPUB_135
0.135505	1e-05	1e-05	0.077837	1e-05	0.786628	CAMPUB_168
0.130264	1e-05	0.003637	1e-05	1e-05	0.866069	CAMPUB_187
0.072149	1e-05	0.044206	1e-05	1e-05	0.883616	CAMPUB_270
0.002632	1e-05	0.094311	0.122566	1e-05	0.780471	CAMPUB_206
1e-05	1e-05	0.092987	0.058627	1e-05	0.848357	CAMPUB_201
1e-05	1e-05	1e-05	0.061201	1e-05	0.938759	CAMPUB_159
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	CAMPUB_058
1e-05	1e-05	0.161072	1e-05	0.020315	0.818582	CAMPUB_146
0.043859	1e-05	1e-05	1.1e-05	1e-05	0.9561	CAMPUB_148
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	CAMPUB_155
1e-05	0.009969	0.130716	0.029892	0.294736	0.534677	CAMPUB_084
1e-05	1e-05	0.362169	1e-05	0.059786	0.578015	CAMPUB_271
1e-05	1e-05	0.299324	0.012669	0.033716	0.654272	CAMPUB_150
0.031593	0.020588	0.077261	1e-05	1e-05	0.870538	CAMPUB_066
1e-05	0.03704	0.153048	1e-05	0.029179	0.780713	CAMPUB_072
1e-05	0.514397	1e-05	0.066865	1e-05	0.418708	CAMPUB_167
1e-05	1e-05	0.101403	1e-05	0.030751	0.867816	CAMPUB_080
1e-05	0.070176	0.248956	1e-05	0.041894	0.638954	CAMPUB_251
1e-05	0.530655	1e-05	1e-05	1e-05	0.469305	CAMPUB_248
0.00394	1e-05	1e-05	0.027893	1e-05	0.968137	CAMPUB_264
1e-05	0.37933	1e-05	1e-05	1e-05	0.62063	CAMPUB_070
1e-05	0.33621	1e-05	1.5e-05	1e-05	0.663745	CAMPUB_081
1e-05	0.155551	1e-05	1e-05	1e-05	0.844409	CAMPUB_269
1e-05	1e-05	1.1e-05	1e-05	1e-05	0.999949	CAMPUB_061
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	CAMPUB_137
0.038676	1e-05	1e-05	0.125986	1e-05	0.835308	CAMPUB_153
1e-05	0.073901	1e-05	0.22508	1e-05	0.700989	CAMPUB_272
0.006254	0.001643	0.467625	0.120469	0.048567	0.355442	CAMPUB_259
0.097469	0.019091	0.315437	0.268985	0.045199	0.253819	CAMPUB_261
0.006114	0.163915	1e-05	0.137827	0.342266	0.349867	CAMPUB_200
1e-05	0.074017	0.341388	0.101096	0.236114	0.247375	CAMPUB_134
1e-05	0.038653	0.377119	0.02497	0.466935	0.092313	CAMPUB_165
