Accession	k-means-cluster_(k=3)
UNT_001_reseq	2
UNT_002_reseq	2
UNT_003_reseq	2
UNT_004_reseq	2
UNT_005_reseq	1
UNT_006_reseq	1
UNT_007_reseq	1
UNT_008_reseq	1
UNT_009_reseq	1
UNT_010_reseq	2
UNT_011_reseq	1
UNT_012_reseq	2
UNT_013_reseq	1
UNT_014_reseq	1
UNT_015_reseq	2
UNT_016_reseq	1
UNT_017_reseq	2
UNT_018_reseq	2
UNT_019_new	1
UNT_020_new	2
UNT_021_new	1
UNT_022_reseq	2
UNT_023_reseq	2
UNT_024_reseq	2
UNT_025_new	2
UNT_026_reseq	2
UNT_027_new	2
UNT_028_reseq	2
UNT_029_reseq	2
UNT_030_reseq	1
UNT_031_reseq	1
UNT_032_reseq	2
UNT_033_reseq	1
UNT_034_reseq	1
UNT_035_reseq	2
UNT_037_reseq	1
UNT_038_new	2
UNT_039_reseq	1
UNT_040_reseq	2
UNT_042_reseq	2
UNT_043_reseq	2
UNT_044_reseq	2
UNT_045_reseq	2
UNT_046_reseq	2
UNT_047_reseq	2
UNT_050_reseq	2
UNT_052_reseq	2
UNT_053_reseq	2
UNT_054_reseq	2
UNT_055_reseq	2
UNT_056_reseq	2
UNT_057	2
UNT_058_reseq	1
UNT_059_reseq	3
CAMPUB_007	2
CAMPUB_008	1
CAMPUB_025	2
CAMPUB_028	2
CAMPUB_029	1
CAMPUB_030	1
CAMPUB_031	2
CAMPUB_033	2
CAMPUB_035	1
CAMPUB_036	1
CAMPUB_038	3
CAMPUB_039	3
CAMPUB_040	1
CAMPUB_041	2
CAMPUB_045	1
CAMPUB_049	3
CAMPUB_052	3
CAMPUB_055	1
CAMPUB_056	2
CAMPUB_057	2
CAMPUB_058	1
CAMPUB_061	1
CAMPUB_063	2
CAMPUB_066	1
CAMPUB_067	2
CAMPUB_068	2
CAMPUB_070	1
CAMPUB_072	1
CAMPUB_073	2
CAMPUB_074	1
CAMPUB_077	2
CAMPUB_078	2
CAMPUB_079	2
CAMPUB_080	1
CAMPUB_081	1
CAMPUB_083	2
CAMPUB_084	2
CAMPUB_085	2
CAMPUB_086	2
CAMPUB_087	2
CAMPUB_088	2
CAMPUB_089	2
CAMPUB_090	2
CAMPUB_091	1
CAMPUB_092	1
CAMPUB_095	2
CAMPUB_096	1
CAMPUB_098	1
CAMPUB_099	1
CAMPUB_101	1
CAMPUB_104	2
CAMPUB_108	2
CAMPUB_110	1
CAMPUB_111	2
CAMPUB_112	2
CAMPUB_114	1
CAMPUB_116	1
CAMPUB_119	2
CAMPUB_120	2
CAMPUB_123	1
CAMPUB_124	1
CAMPUB_131	2
CAMPUB_134	1
CAMPUB_135	1
CAMPUB_136	1
CAMPUB_137	1
CAMPUB_138	1
CAMPUB_145	1
CAMPUB_146	2
CAMPUB_147	2
CAMPUB_148	1
CAMPUB_149	1
CAMPUB_150	1
CAMPUB_151	2
CAMPUB_152	1
CAMPUB_153	1
CAMPUB_154	1
CAMPUB_155	1
CAMPUB_156	1
CAMPUB_157	2
CAMPUB_158	2
CAMPUB_159	2
CAMPUB_160	2
CAMPUB_161	1
CAMPUB_162	2
CAMPUB_164	2
CAMPUB_165	1
CAMPUB_167	2
CAMPUB_168	1
CAMPUB_169	1
CAMPUB_170	2
CAMPUB_171	1
CAMPUB_172	2
CAMPUB_173	1
CAMPUB_174	1
CAMPUB_175	2
CAMPUB_180	1
CAMPUB_182	2
CAMPUB_187	1
CAMPUB_192	2
CAMPUB_193	2
CAMPUB_194	2
CAMPUB_195	2
CAMPUB_196	2
CAMPUB_197	2
CAMPUB_198	2
CAMPUB_199	2
CAMPUB_200	2
CAMPUB_201	1
CAMPUB_203	1
CAMPUB_204	2
CAMPUB_205	2
CAMPUB_206	1
CAMPUB_207	1
CAMPUB_209	1
CAMPUB_210	1
CAMPUB_211	1
CAMPUB_212	1
CAMPUB_214	2
CAMPUB_216	1
CAMPUB_218	2
CAMPUB_219	2
CAMPUB_220	2
CAMPUB_221	1
CAMPUB_223	2
CAMPUB_225	2
CAMPUB_226	1
CAMPUB_228	2
CAMPUB_229	2
CAMPUB_230	2
CAMPUB_231	2
CAMPUB_232	2
CAMPUB_233	2
CAMPUB_234	2
CAMPUB_235	2
CAMPUB_236	2
CAMPUB_237	1
CAMPUB_239	2
CAMPUB_240	2
CAMPUB_241	2
CAMPUB_242	2
CAMPUB_243	1
CAMPUB_244	2
CAMPUB_246	2
CAMPUB_247	2
CAMPUB_248	1
CAMPUB_250	2
CAMPUB_251	1
CAMPUB_252	2
CAMPUB_253	2
CAMPUB_255	2
CAMPUB_256	2
CAMPUB_257	1
CAMPUB_258	2
CAMPUB_259	1
CAMPUB_260	1
CAMPUB_261	2
CAMPUB_262	2
CAMPUB_264	1
CAMPUB_266	1
CAMPUB_268	1
CAMPUB_269	1
CAMPUB_270	1
CAMPUB_271	1
CAMPUB_272	1
CAMPUB_273	1
CAMPUB_276	2
CAMPUB_277	1
CAMPUB_278	2
