Accession	k-means-cluster_(k=9)
UNT_001_reseq	9
UNT_002_reseq	8
UNT_003_reseq	6
UNT_004_reseq	8
UNT_005_reseq	7
UNT_006_reseq	7
UNT_007_reseq	7
UNT_008_reseq	7
UNT_009_reseq	7
UNT_010_reseq	5
UNT_011_reseq	7
UNT_012_reseq	8
UNT_013_reseq	7
UNT_014_reseq	7
UNT_015_reseq	7
UNT_016_reseq	7
UNT_017_reseq	7
UNT_018_reseq	8
UNT_019_new	2
UNT_020_new	9
UNT_021_new	4
UNT_022_reseq	9
UNT_023_reseq	9
UNT_024_reseq	6
UNT_025_new	2
UNT_026_reseq	6
UNT_027_new	6
UNT_028_reseq	6
UNT_029_reseq	2
UNT_030_reseq	2
UNT_031_reseq	4
UNT_032_reseq	4
UNT_033_reseq	4
UNT_034_reseq	7
UNT_035_reseq	4
UNT_037_reseq	2
UNT_038_new	4
UNT_039_reseq	2
UNT_040_reseq	9
UNT_042_reseq	4
UNT_043_reseq	6
UNT_044_reseq	8
UNT_045_reseq	8
UNT_046_reseq	6
UNT_047_reseq	4
UNT_050_reseq	6
UNT_052_reseq	8
UNT_053_reseq	4
UNT_054_reseq	7
UNT_055_reseq	4
UNT_056_reseq	8
UNT_057	2
UNT_058_reseq	4
UNT_059_reseq	1
CAMPUB_007	4
CAMPUB_008	4
CAMPUB_025	2
CAMPUB_028	8
CAMPUB_029	6
CAMPUB_030	6
CAMPUB_031	5
CAMPUB_033	8
CAMPUB_035	2
CAMPUB_036	4
CAMPUB_038	1
CAMPUB_039	1
CAMPUB_040	4
CAMPUB_041	6
CAMPUB_045	2
CAMPUB_049	1
CAMPUB_052	1
CAMPUB_055	2
CAMPUB_056	6
CAMPUB_057	2
CAMPUB_058	4
CAMPUB_061	3
CAMPUB_063	8
CAMPUB_066	4
CAMPUB_067	8
CAMPUB_068	8
CAMPUB_070	3
CAMPUB_072	4
CAMPUB_073	8
CAMPUB_074	4
CAMPUB_077	5
CAMPUB_078	5
CAMPUB_079	4
CAMPUB_080	3
CAMPUB_081	3
CAMPUB_083	8
CAMPUB_084	3
CAMPUB_085	9
CAMPUB_086	8
CAMPUB_087	8
CAMPUB_088	8
CAMPUB_089	4
CAMPUB_090	8
CAMPUB_091	9
CAMPUB_092	4
CAMPUB_095	8
CAMPUB_096	8
CAMPUB_098	4
CAMPUB_099	4
CAMPUB_101	4
CAMPUB_104	8
CAMPUB_108	8
CAMPUB_110	4
CAMPUB_111	2
CAMPUB_112	4
CAMPUB_114	4
CAMPUB_116	9
CAMPUB_119	8
CAMPUB_120	6
CAMPUB_123	4
CAMPUB_124	6
CAMPUB_131	8
CAMPUB_134	7
CAMPUB_135	4
CAMPUB_136	4
CAMPUB_137	3
CAMPUB_138	9
CAMPUB_145	9
CAMPUB_146	4
CAMPUB_147	6
CAMPUB_148	4
CAMPUB_149	9
CAMPUB_150	3
CAMPUB_151	4
CAMPUB_152	2
CAMPUB_153	4
CAMPUB_154	4
CAMPUB_155	4
CAMPUB_156	8
CAMPUB_157	4
CAMPUB_158	4
CAMPUB_159	4
CAMPUB_160	6
CAMPUB_161	9
CAMPUB_162	4
CAMPUB_164	4
CAMPUB_165	7
CAMPUB_167	3
CAMPUB_168	4
CAMPUB_169	2
CAMPUB_170	8
CAMPUB_171	6
CAMPUB_172	5
CAMPUB_173	2
CAMPUB_174	9
CAMPUB_175	3
CAMPUB_180	9
CAMPUB_182	5
CAMPUB_187	4
CAMPUB_192	4
CAMPUB_193	9
CAMPUB_194	9
CAMPUB_195	4
CAMPUB_196	4
CAMPUB_197	4
CAMPUB_198	8
CAMPUB_199	8
CAMPUB_200	8
CAMPUB_201	4
CAMPUB_203	4
CAMPUB_204	2
CAMPUB_205	6
CAMPUB_206	4
CAMPUB_207	6
CAMPUB_209	4
CAMPUB_210	3
CAMPUB_211	4
CAMPUB_212	4
CAMPUB_214	4
CAMPUB_216	2
CAMPUB_218	6
CAMPUB_219	4
CAMPUB_220	4
CAMPUB_221	5
CAMPUB_223	4
CAMPUB_225	4
CAMPUB_226	2
CAMPUB_228	8
CAMPUB_229	8
CAMPUB_230	8
CAMPUB_231	8
CAMPUB_232	8
CAMPUB_233	8
CAMPUB_234	8
CAMPUB_235	8
CAMPUB_236	8
CAMPUB_237	4
CAMPUB_239	8
CAMPUB_240	8
CAMPUB_241	8
CAMPUB_242	8
CAMPUB_243	9
CAMPUB_244	4
CAMPUB_246	4
CAMPUB_247	8
CAMPUB_248	3
CAMPUB_250	8
CAMPUB_251	3
CAMPUB_252	4
CAMPUB_253	8
CAMPUB_255	4
CAMPUB_256	8
CAMPUB_257	2
CAMPUB_258	4
CAMPUB_259	6
CAMPUB_260	4
CAMPUB_261	6
CAMPUB_262	6
CAMPUB_264	3
CAMPUB_266	4
CAMPUB_268	4
CAMPUB_269	3
CAMPUB_270	4
CAMPUB_271	3
CAMPUB_272	3
CAMPUB_273	4
CAMPUB_276	5
CAMPUB_277	4
CAMPUB_278	2
