Accession	k-means-cluster_(k=8)
CAMPUB_007	6
CAMPUB_008	6
CAMPUB_025	6
CAMPUB_028	6
CAMPUB_029	4
CAMPUB_030	4
CAMPUB_031	5
CAMPUB_033	6
CAMPUB_035	6
CAMPUB_036	6
CAMPUB_038	7
CAMPUB_039	7
CAMPUB_040	6
CAMPUB_041	4
CAMPUB_045	1
CAMPUB_049	7
CAMPUB_052	7
CAMPUB_055	6
CAMPUB_056	6
CAMPUB_057	2
CAMPUB_058	2
CAMPUB_061	3
CAMPUB_063	8
CAMPUB_066	6
CAMPUB_067	8
CAMPUB_068	8
CAMPUB_070	3
CAMPUB_072	6
CAMPUB_073	6
CAMPUB_074	6
CAMPUB_077	5
CAMPUB_078	5
CAMPUB_079	6
CAMPUB_080	3
CAMPUB_081	3
CAMPUB_083	6
CAMPUB_084	3
CAMPUB_085	6
CAMPUB_086	6
CAMPUB_087	6
CAMPUB_088	6
CAMPUB_089	2
CAMPUB_090	6
CAMPUB_091	6
CAMPUB_092	6
CAMPUB_095	8
CAMPUB_096	8
CAMPUB_098	4
CAMPUB_099	4
CAMPUB_101	6
CAMPUB_104	6
CAMPUB_108	6
CAMPUB_110	6
CAMPUB_111	6
CAMPUB_112	2
CAMPUB_114	6
CAMPUB_116	6
CAMPUB_119	6
CAMPUB_120	4
CAMPUB_123	4
CAMPUB_124	4
CAMPUB_131	8
CAMPUB_134	6
CAMPUB_135	6
CAMPUB_136	6
CAMPUB_137	3
CAMPUB_138	6
CAMPUB_145	6
CAMPUB_146	2
CAMPUB_147	6
CAMPUB_148	6
CAMPUB_149	6
CAMPUB_150	3
CAMPUB_151	2
CAMPUB_152	6
CAMPUB_153	3
CAMPUB_154	6
CAMPUB_155	2
CAMPUB_156	6
CAMPUB_157	6
CAMPUB_158	2
CAMPUB_159	2
CAMPUB_160	4
CAMPUB_161	6
CAMPUB_162	2
CAMPUB_164	8
CAMPUB_165	6
CAMPUB_167	3
CAMPUB_168	6
CAMPUB_169	2
CAMPUB_170	6
CAMPUB_171	4
CAMPUB_172	5
CAMPUB_173	6
CAMPUB_174	6
CAMPUB_175	3
CAMPUB_180	6
CAMPUB_182	5
CAMPUB_187	6
CAMPUB_192	2
CAMPUB_193	8
CAMPUB_194	8
CAMPUB_195	2
CAMPUB_196	8
CAMPUB_197	6
CAMPUB_198	8
CAMPUB_199	6
CAMPUB_200	4
CAMPUB_201	2
CAMPUB_203	6
CAMPUB_204	6
CAMPUB_205	4
CAMPUB_206	2
CAMPUB_207	6
CAMPUB_209	4
CAMPUB_210	3
CAMPUB_211	8
CAMPUB_212	6
CAMPUB_214	2
CAMPUB_216	6
CAMPUB_218	6
CAMPUB_219	8
CAMPUB_220	8
CAMPUB_221	1
CAMPUB_223	6
CAMPUB_225	6
CAMPUB_226	2
CAMPUB_228	6
CAMPUB_229	8
CAMPUB_230	2
CAMPUB_231	6
CAMPUB_232	8
CAMPUB_233	8
CAMPUB_234	6
CAMPUB_235	6
CAMPUB_236	8
CAMPUB_237	4
CAMPUB_239	6
CAMPUB_240	8
CAMPUB_241	6
CAMPUB_242	8
CAMPUB_243	6
CAMPUB_244	6
CAMPUB_246	2
CAMPUB_247	2
CAMPUB_248	3
CAMPUB_250	6
CAMPUB_251	3
CAMPUB_252	6
CAMPUB_253	8
CAMPUB_255	6
CAMPUB_256	8
CAMPUB_257	6
CAMPUB_258	2
CAMPUB_259	4
CAMPUB_260	6
CAMPUB_261	4
CAMPUB_262	4
CAMPUB_264	3
CAMPUB_266	6
CAMPUB_268	6
CAMPUB_269	3
CAMPUB_270	6
CAMPUB_271	3
CAMPUB_272	3
CAMPUB_273	6
CAMPUB_276	5
CAMPUB_277	6
CAMPUB_278	6
UNT_001_reseq	4
UNT_002_reseq	4
UNT_003_reseq	4
UNT_004_reseq	4
UNT_005_reseq	6
UNT_006_reseq	6
UNT_007_reseq	6
UNT_008_reseq	6
UNT_009_reseq	6
UNT_010_reseq	5
UNT_011_reseq	6
UNT_012_reseq	4
UNT_013_reseq	1
UNT_014_reseq	1
UNT_015_reseq	6
UNT_016_reseq	6
UNT_017_reseq	6
UNT_018_reseq	4
UNT_019_new	1
UNT_020_new	4
UNT_021_new	4
UNT_022_reseq	4
UNT_023_reseq	4
UNT_024_reseq	4
UNT_025_new	2
UNT_026_reseq	4
UNT_027_new	4
UNT_028_reseq	4
UNT_029_reseq	4
UNT_030_reseq	4
UNT_031_reseq	4
UNT_032_reseq	4
UNT_033_reseq	4
UNT_034_reseq	6
UNT_035_reseq	4
UNT_037_reseq	4
UNT_038_new	4
UNT_039_reseq	4
UNT_040_reseq	4
UNT_042_reseq	4
UNT_043_reseq	4
UNT_044_reseq	4
UNT_045_reseq	4
UNT_046_reseq	4
UNT_047_reseq	4
UNT_050_reseq	4
UNT_052_reseq	4
UNT_053_reseq	2
UNT_054_reseq	6
UNT_055_reseq	2
UNT_056_reseq	4
UNT_057	6
UNT_058_reseq	4
UNT_059_reseq	7
