Accession	k-means-cluster_(k=9)
CAMPUB_007	7
CAMPUB_008	7
CAMPUB_025	7
CAMPUB_028	3
CAMPUB_029	5
CAMPUB_030	5
CAMPUB_031	6
CAMPUB_033	3
CAMPUB_035	1
CAMPUB_036	5
CAMPUB_038	2
CAMPUB_039	2
CAMPUB_040	7
CAMPUB_041	3
CAMPUB_045	4
CAMPUB_049	2
CAMPUB_052	2
CAMPUB_055	3
CAMPUB_056	7
CAMPUB_057	1
CAMPUB_058	4
CAMPUB_061	3
CAMPUB_063	3
CAMPUB_066	8
CAMPUB_067	3
CAMPUB_068	3
CAMPUB_070	3
CAMPUB_072	3
CAMPUB_073	3
CAMPUB_074	3
CAMPUB_077	6
CAMPUB_078	6
CAMPUB_079	8
CAMPUB_080	4
CAMPUB_081	3
CAMPUB_083	3
CAMPUB_084	3
CAMPUB_085	3
CAMPUB_086	3
CAMPUB_087	3
CAMPUB_088	3
CAMPUB_089	4
CAMPUB_090	7
CAMPUB_091	3
CAMPUB_092	8
CAMPUB_095	3
CAMPUB_096	3
CAMPUB_098	8
CAMPUB_099	8
CAMPUB_101	3
CAMPUB_104	3
CAMPUB_108	3
CAMPUB_110	5
CAMPUB_111	7
CAMPUB_112	4
CAMPUB_114	8
CAMPUB_116	3
CAMPUB_119	3
CAMPUB_120	3
CAMPUB_123	3
CAMPUB_124	3
CAMPUB_131	3
CAMPUB_134	9
CAMPUB_135	5
CAMPUB_136	3
CAMPUB_137	3
CAMPUB_138	3
CAMPUB_145	3
CAMPUB_146	4
CAMPUB_147	3
CAMPUB_148	5
CAMPUB_149	3
CAMPUB_150	3
CAMPUB_151	4
CAMPUB_152	3
CAMPUB_153	8
CAMPUB_154	3
CAMPUB_155	8
CAMPUB_156	3
CAMPUB_157	5
CAMPUB_158	4
CAMPUB_159	4
CAMPUB_160	3
CAMPUB_161	3
CAMPUB_162	4
CAMPUB_164	5
CAMPUB_165	9
CAMPUB_167	3
CAMPUB_168	5
CAMPUB_169	1
CAMPUB_170	3
CAMPUB_171	3
CAMPUB_172	6
CAMPUB_173	3
CAMPUB_174	3
CAMPUB_175	3
CAMPUB_180	3
CAMPUB_182	6
CAMPUB_187	5
CAMPUB_192	4
CAMPUB_193	3
CAMPUB_194	3
CAMPUB_195	4
CAMPUB_196	5
CAMPUB_197	7
CAMPUB_198	3
CAMPUB_199	3
CAMPUB_200	3
CAMPUB_201	4
CAMPUB_203	8
CAMPUB_204	7
CAMPUB_205	3
CAMPUB_206	4
CAMPUB_207	3
CAMPUB_209	8
CAMPUB_210	3
CAMPUB_211	3
CAMPUB_212	7
CAMPUB_214	4
CAMPUB_216	3
CAMPUB_218	7
CAMPUB_219	3
CAMPUB_220	3
CAMPUB_221	6
CAMPUB_223	5
CAMPUB_225	3
CAMPUB_226	1
CAMPUB_228	3
CAMPUB_229	3
CAMPUB_230	4
CAMPUB_231	3
CAMPUB_232	3
CAMPUB_233	5
CAMPUB_234	3
CAMPUB_235	3
CAMPUB_236	3
CAMPUB_237	8
CAMPUB_239	3
CAMPUB_240	3
CAMPUB_241	3
CAMPUB_242	5
CAMPUB_243	3
CAMPUB_244	7
CAMPUB_246	4
CAMPUB_247	4
CAMPUB_248	3
CAMPUB_250	3
CAMPUB_251	3
CAMPUB_252	7
CAMPUB_253	3
CAMPUB_255	7
CAMPUB_256	3
CAMPUB_257	3
CAMPUB_258	4
CAMPUB_259	3
CAMPUB_260	5
CAMPUB_261	3
CAMPUB_262	3
CAMPUB_264	5
CAMPUB_266	5
CAMPUB_268	5
CAMPUB_269	3
CAMPUB_270	5
CAMPUB_271	3
CAMPUB_272	3
CAMPUB_273	5
CAMPUB_276	6
CAMPUB_277	3
CAMPUB_278	7
UNT_001_reseq	3
UNT_002_reseq	3
UNT_003_reseq	3
UNT_004_reseq	3
UNT_005_reseq	9
UNT_006_reseq	9
UNT_007_reseq	9
UNT_008_reseq	9
UNT_009_reseq	9
UNT_010_reseq	6
UNT_011_reseq	9
UNT_012_reseq	3
UNT_013_reseq	9
UNT_014_reseq	9
UNT_015_reseq	9
UNT_016_reseq	9
UNT_017_reseq	9
UNT_018_reseq	3
UNT_019_new	4
UNT_020_new	3
UNT_021_new	8
UNT_022_reseq	3
UNT_023_reseq	3
UNT_024_reseq	3
UNT_025_new	1
UNT_026_reseq	3
UNT_027_new	3
UNT_028_reseq	3
UNT_029_reseq	7
UNT_030_reseq	1
UNT_031_reseq	8
UNT_032_reseq	8
UNT_033_reseq	8
UNT_034_reseq	9
UNT_035_reseq	8
UNT_037_reseq	1
UNT_038_new	8
UNT_039_reseq	3
UNT_040_reseq	3
UNT_042_reseq	3
UNT_043_reseq	3
UNT_044_reseq	4
UNT_045_reseq	4
UNT_046_reseq	3
UNT_047_reseq	4
UNT_050_reseq	3
UNT_052_reseq	3
UNT_053_reseq	4
UNT_054_reseq	9
UNT_055_reseq	4
UNT_056_reseq	3
UNT_057	7
UNT_058_reseq	5
UNT_059_reseq	2
